"denuncia_numero","hecho_fecha_hora","hecho_provincia","hecho_municipio","hecho_localidad","hecho_discriminacion","hecho_irregularidades","hecho_lugar","hecho_cometido_por","hecho_tipo_violencia","hecho_accion_realizada","denuncia_estado","denuncia_fecha_cambio_estado","denuncia_via_ingreso","denuncia_fecha_hora_carga","hecho_provincia_id"
442,"2012-03-12 00:05:00","Buenos Aires","Morón","Haedo","","El personal de control no esta identificado - Presencia de menores","","","","","Desestimado","2012-12-05","Página web de RENCAP ","2012-11-25 20:26:00","06"
443,"2012-11-28 00:00:00","Buenos Aires","Morón","Haedo","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2012-11-29","Call Center","2012-11-28 12:09:00","06"
444,"2012-02-11 22:00:00","Santa Fe","Rafaela","Rafaela","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el interior del local","","","","Derivado","2015-11-19","Página web de RENCAP ","2012-12-01 01:13:00","82"
445,"2012-02-12 02:00:00","Misiones","Posadas","POSADAS","Por indumentaria","El personal de control no esta identificado","","","","","Desestimado","2012-12-20","Página web de RENCAP ","2012-12-02 03:30:00","54"
446,"2012-02-12 02:15:00","San Juan","San Juan","SAN JUAN","Por aspecto físico","","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2012-12-21","Página web de RENCAP ","2012-12-04 12:21:00","70"
447,"2012-11-17 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por indumentaria - Racial","","En el acceso local","Controladores","","","Derivado","2012-12-04","Call Center","2012-12-04 13:49:00","02"
448,"2012-12-02 05:30:00","Buenos Aires","San Miguel","San Miguel","","","En el interior del local","Controladores","Agresión física","","Derivado","2012-12-10","Call Center","2012-12-05 12:38:00","06"
449,"2012-12-02 02:00:00","Buenos Aires","San Miguel","","Por aspecto físico - Por orientacion sexual","","","Controladores - Personas vinculadas a la empresa","","","Derivado","2012-12-10","Call Center","2012-12-05 15:29:00","06"
450,"2012-12-08 00:00:00","Ciudad Autónoma de Buenos Aires","Barrio Caballito","","Por aspecto físico - Racial","","En el acceso local","Controladores","","","Derivado","2012-12-19","Call Center","2012-12-10 13:27:00","02"
451,"2012-12-08 00:00:00","Buenos Aires","Necochea","Necochea","Por aspecto físico","No exhibe condiciones de adminsión y permanencia - Presencia de menores","En el acceso local","Controladores","Agresión física","Se hizo denuncia policial","Derivado","2012-12-11","Call Center","2012-12-10 16:02:00","06"
452,"2012-11-28 23:15:00","Ciudad Autónoma de Buenos Aires","Barrio Balvanera","","","","En el interior del local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2012-12-20","Call Center","2012-12-13 14:46:00","02"
453,"2012-12-15 01:45:00","Buenos Aires","Lomas de Zamora","Temperley","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-12-27","Call Center","2012-12-18 15:02:00","06"
454,"2012-12-15 01:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2012-12-20","Call Center","2012-12-18 15:02:00","02"
455,"2012-12-15 01:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal","","Desestimado","2012-12-20","Página web de RENCAP ","2012-12-19 12:51:00","02"
456,"2012-12-16 05:00:00","Chubut","Trelew","TRELEW","Por aspecto físico - Por indumentaria","El personal de control no esta identificado","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","","Se solicitó asistencia policial","Derivado","2013-01-03","Página web de RENCAP ","2012-12-19 19:07:00","26"
457,"2012-12-08 02:30:00","Buenos Aires","La Plata","La Plata","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación - Presencia de menores","","","","","Desestimado","2012-12-28","Página web de RENCAP ","2012-12-22 01:07:00","06"
458,"2012-12-21 02:15:00","Buenos Aires","La Plata","Barrio Ruta Sol","","","En el acceso local","Controladores","Agresión física","","Derivado","2012-12-27","Página web de RENCAP ","2012-12-22 16:18:00","06"
459,"2012-12-23 01:30:00","Ciudad Autónoma de Buenos Aires","Barrio San Nicolás","","Por indumentaria","No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-12-28","Página web de RENCAP ","2012-12-26 15:31:00","02"
460,"2012-12-25 04:00:00","Chubut","Trelew","TRELEW","Por aspecto físico","El personal de control no esta identificado","","","","","Derivado","2013-01-03","Página web de RENCAP ","2012-12-28 14:21:00","26"
461,"2012-12-25 04:00:00","Chubut","Trelew","TRELEW","Por aspecto físico","El personal de control no esta identificado","","","","","Desestimado","2012-12-28","Página web de RENCAP ","2012-12-28 14:33:00","26"
462,"2013-01-01 05:00:00","Santiago del Estero","Santiago del Estero","SANTIAGO DEL ESTERO","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación","","","","","Derivado","2013-01-08","Página web de RENCAP ","2013-01-01 22:23:00","86"
463,"2012-12-30 01:30:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2013-01-08","Call Center","2013-01-07 17:22:00","02"
464,"2012-10-27 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","Racial","","En el acceso local","Controladores","","","Derivado","2013-01-08","Call Center","2013-01-07 17:38:00","02"
465,"2012-12-22 02:45:00","Ciudad Autónoma de Buenos Aires","Barrio Caballito","","Por aspecto físico - Racial","","","","","","Derivado","2013-01-28","Página web de RENCAP ","2013-01-08 19:45:00","02"
466,"2013-01-13 02:15:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","Personal de empresas de seguridad","Agresión verbal","","Derivado","2013-01-15","Página web de RENCAP ","2013-01-14 17:00:00","02"
467,"2013-01-13 04:04:00","Santa Fe","Venado Tuerto","Venado Tuerto","Por aspecto físico - Racial","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores - Personal de empresas de seguridad","Agresión verbal - Agresión física","","Derivado","2013-01-18","Página web de RENCAP ","2013-01-15 10:44:00","82"
468,"2013-01-05 10:00:00","Buenos Aires","Florencio Varela","Fcio. Varela","Por ideologia","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el interior del local - En el acceso local","Controladores - Personal de empresas de seguridad","","","Desestimado","2013-02-08","Página web de RENCAP ","2013-01-17 22:11:00","06"
469,"2013-01-17 21:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2013-01-22","Call Center","2013-01-18 12:13:00","02"
470,"2013-01-17 21:45:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","","","","","Derivado","2013-01-28","Página web de RENCAP ","2013-01-21 18:24:00","02"
471,"2013-01-26 03:30:00","Buenos Aires","Junín","Junín","Racial","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal","Se solicitó asistencia policial","Desestimado","2013-02-13","Página web de RENCAP ","2013-01-26 15:35:00","06"
769,"2014-10-13 00:00:00","La Pampa","Guatraché","GUATRACHE","Por aspecto físico - Racial","","En el interior del local - En las proximidades del local","","","","Desestimado","2015-01-26","Página web de RENCAP ","2015-01-09 02:42:00","42"
770,"2015-01-08 01:50:00","Buenos Aires","La Matanza","","","","","","Agresión física","Se hizo denuncia ante la fiscalia","Desestimado","2015-01-26","Página web de RENCAP ","2015-01-09 14:30:00","06"
771,"2015-01-27 07:00:00","Buenos Aires","La Plata","Barrio Las Malvinas","","","En las proximidades del local","","Agresión física","","Desestimado","2015-02-09","Página web de RENCAP ","2015-01-31 05:12:00","06"
776,"2015-02-07 23:52:00","Buenos Aires","Florencio Varela","Fcio. Varela","","Presencia de menores","En el acceso local","","","","Derivado","2015-03-03","Página web de RENCAP ","2015-02-12 00:47:00","06"
785,"2015-03-15 02:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Por aspecto físico","","En el acceso local","","","","Derivado","2015-04-09","Call Center","2015-03-17 11:54:00","02"
786,"2015-02-25 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Agronomía","","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","Controladores","","","Desestimado","2015-04-09","Página web de RENCAP ","2015-03-18 13:52:00","02"
797,"2015-03-21 04:00:00","Buenos Aires","Azul","Azul","Por orientacion sexual","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","","Personal de empresas de seguridad","","","Derivado","2015-04-09","Página web de RENCAP ","2015-03-23 20:12:00","06"
798,"2015-03-21 05:00:00","Buenos Aires","Azul","Azul","Por orientacion sexual","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Derivado","2015-04-09","Página web de RENCAP ","2015-03-23 20:20:00","06"
799,"2015-03-21 01:00:00","Buenos Aires","Tornquist","Tornquist","","Presencia de menores","En el interior del local","","","","Derivado","2015-04-09","Call Center","2015-03-25 14:45:00","06"
800,"2015-03-21 02:22:00","Buenos Aires","Lobos","Lobos","","Presencia de menores","En el interior del local - En el acceso local","","","","Derivado","2015-04-09","Página web de RENCAP ","2015-03-28 17:44:00","06"
801,"2015-03-28 01:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Otros","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia","","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2015-04-09","Página web de RENCAP ","2015-03-29 21:30:00","02"
802,"2015-04-11 02:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","","Por aspecto físico","","En el acceso local","Personal de empresas de seguridad","Agresión verbal","","Derivado","2015-05-07","Página web de RENCAP ","2015-04-12 13:23:00","02"
809,"2015-04-19 03:30:00","Buenos Aires","Pergamino","Pergamino","Otros","No exhibe condiciones de adminsión y permanencia - Presencia de menores","En el acceso local","Controladores","","","Derivado","2015-05-08","Página web de RENCAP ","2015-04-19 05:17:00","06"
810,"2015-04-17 02:00:00","Córdoba","Villa María","VILLA MARIA","Por indumentaria","","En el acceso local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2015-05-07","Call Center","2015-04-20 14:30:00","14"
811,"2015-04-11 23:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores","Agresión verbal","","Derivado","2015-05-07","Call Center","2015-04-20 14:42:00","02"
812,"2015-04-26 04:10:00","Santa Fe","San Lorenzo","","Por orientacion sexual - Racial","","En el interior del local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2015-05-07","Página web de RENCAP ","2015-04-26 16:54:00","82"
813,"2015-04-25 03:30:00","Buenos Aires","La Matanza","Ramos Mejía","","El personal de control no esta identificado","En el interior del local","Controladores","Agresión verbal - Agresión física","","Derivado","2015-05-08","Call Center","2015-04-27 14:12:00","06"
814,"2015-05-02 02:30:00","Buenos Aires","Lomas de Zamora","Lomas de Zamora","Por orientacion sexual","El personal de control no esta identificado","En el acceso local","Personal de empresas de seguridad","Agresión verbal","","Derivado","2015-05-12","Página web de RENCAP ","2015-05-02 12:10:00","06"
815,"2015-05-01 12:02:00","Ciudad Autónoma de Buenos Aires","Barrio Nuñez","","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación","","Personal de empresas de seguridad","","","Derivado","2015-05-12","Página web de RENCAP ","2015-05-03 15:15:00","02"
816,"2015-05-03 02:00:00","Mendoza","Maipú","MAIPU","Racial","El personal de control no esta identificado","En el acceso local","Personal de empresas de seguridad","","","Derivado","2015-06-02","Call Center","2015-05-05 13:44:00","50"
